Indiv1,Indiv2,Pop,TrioMl,Wang,LynchLi,LynchRd,Ritland,Queller,DyadML
R003F060M0,R003F060M1,R0R0,0.0561,0.342,0.2821,0.0361,0.0301,0.3527,0.0561
R003F061M0,R003F061M1,R0R0,0.3806,0.2243,0.2821,0.7418,1.2122,0.4748,0.5145
R003F062M0,R003F062M1,R0R0,0,-0.0446,-0.0769,-0.3122,-0.2046,-0.1875,0
R003F063M0,R003F063M1,R0R0,0.5,0.5051,0.5214,0.7207,0.8879,0.603,0.5
R003F064M0,R003F064M1,R0R0,0.243,0.3046,0.1624,0.6368,0.4719,0.343,0.4387
R003F065M0,R003F065M1,R0R0,0,-0.0147,-0.0769,-0.1967,-0.0989,0.0707,0
R003F066M0,R003F066M1,R0R0,0.2,0.1728,0.1624,0.4898,0.1352,0.4076,0.3138
R003F067M0,R003F067M1,R0R0,0.4244,0.4939,0.4017,0.2242,0.0997,0.2946,0.4244
R003F068M0,R003F068M1,R0R0,0.5,0.36,0.4017,0.3739,0.1883,0.3422,0.5
R003F069M0,R003F069M1,R0R0,0.158,0.0909,0.1624,0.6088,0.4776,0.1388,0.308
R003F070M0,R003F070M1,R0R0,0.2657,0.2653,0.2821,0.2411,0.1116,0.4291,0.2863
R003F071M0,R003F071M1,R0R0,0.1912,0.0812,0.0428,0.1636,0.2203,-0.0068,0.1974
R003F072M0,R003F072M1,R0R0,0.1772,-0.3124,-0.3162,0.8079,2.7061,-0.1822,0.2794
R003F073M0,R003F073M1,R0R0,0.5,0.5803,0.5214,0.5804,0.4409,0.663,0.5
R003F074M0,R003F074M1,R0R0,0.4618,0.6452,0.641,0.5115,0.1281,0.6485,0.5858
R003F075M0,R003F075M1,R0R0,0,-0.4845,-0.4358,-0.3542,-0.3337,-0.4616,0
R003F076M0,R003F076M1,R0R0,0.0445,0.4275,0.4017,0.0147,0.0937,0.2889,0.0445
R003F077M0,R003F077M1,R0R0,0.2142,0.2092,0.1624,0.0826,0.0237,0.0573,0.2142
R003F078M0,R003F078M1,R0R0,0.0342,0.2619,0.2821,0.0111,-0.0914,0.1586,0.051
R003F079M0,R003F079M1,R0R0,0,0.2088,0.1624,-0.1643,-0.1247,-0.041,0
R003F080M0,R003F080M1,R0R0,0.0845,0.0878,0.0428,0.0846,-0.1234,-0.1198,0.1475
R003F081M0,R003F081M1,R0R0,0.1604,0.221,0.1624,0.1055,0.1311,0.1209,0.1691
R003F082M0,R003F082M1,R0R0,0,-0.2635,-0.1965,-0.3719,-0.2369,-0.1907,0
R003F083M0,R003F083M1,R0R0,0,0.1741,0.0428,-0.0763,-0.065,-0.1168,0
R003F084M0,R003F084M1,R0R0,0,-0.1187,-0.0769,-0.1573,-0.1045,-0.0113,0
R003F085M0,R003F085M1,R0R0,0,0.2181,0.1624,-0.0303,-0.0313,0.1312,0
R003F086M0,R003F086M1,R0R0,0.2452,-0.0231,-0.0769,0.265,0.543,0.2372,0.2452
R003F087M0,R003F087M1,R0R0,0,0.0916,0.1624,-0.0895,-0.1067,0.0648,0
R003F088M0,R003F088M1,R0R0,0.0634,0.0811,0.0428,0.1802,0.0525,0.1189,0.1643
R003F089M0,R003F089M1,R0R0,0,-0.42,-0.4358,-0.1152,-0.1887,-0.2778,0
R003F090M0,R003F090M1,R0R0,0.2475,0.4732,0.4017,0.1693,0.1683,0.4927,0.282
R003F091M0,R003F091M1,R0R0,0.0173,0.2204,0.2821,-0.0651,-0.0299,-0.2886,0.0173
R003F092M0,R003F092M1,R0R0,0.0452,0.0722,-0.0769,0.0666,0.1458,-0.1271,0.0653
R003F093M0,R003F093M1,R0R0,0,-0.2432,-0.1965,-0.1741,-0.2121,-0.1309,0
R003F094M0,R003F094M1,R0R0,0.5,0.3005,0.1624,0.4145,1.0444,0.4036,0.5
R003F095M0,R003F095M1,R0R0,0.1447,0.4659,0.4017,0.1133,0.0559,0.3164,0.1925
R003F096M0,R003F096M1,R0R0,0.1191,-0.4103,-0.3162,0.2147,0.4839,-0.2203,0.1191
R003F097M0,R003F097M1,R0R0,0.3677,0.4738,0.4017,0.2671,0.3658,0.4798,0.5143
R003F098M0,R003F098M1,R0R0,0.2766,0.1362,0.1624,0.5658,0.9569,0.3681,0.4031
R003F099M0,R003F099M1,R0R0,0.5,0.4781,0.4017,0.4126,0.2007,0.5657,0.5
R003F100M0,R003F100M1,R0R0,0.5405,0.5606,0.641,0.7124,1.2008,0.7343,0.6846
R004F001M0,R004F001M1,R0R0,0,-0.6624,-0.6751,-0.4747,-0.5512,-0.3976,0
R004F002M0,R004F002M1,R0R0,0.4739,0.7211,0.7607,0.6106,0.2766,0.7236,0.5659
R004F003M0,R004F003M1,R0R0,0.5,0.466,0.5214,0.5035,0.2468,0.2823,0.5
R004F004M0,R004F004M1,R0R0,0,-0.4801,-0.4358,-0.5192,-0.5111,-0.603,0
R004F005M0,R004F005M1,R0R0,0.004,0.0775,-0.0769,-0.0006,0.084,0.172,0.004
R004F006M0,R004F006M1,R0R0,0,-0.4013,-0.4358,-0.112,0.0068,0.063,0
R004F007M0,R004F007M1,R0R0,0.1943,0.311,0.2821,0.0844,0.1555,0.3178,0.1943
R004F008M0,R004F008M1,R0R0,0.0691,-0.0162,0.0428,-0.0889,-0.0862,-0.2879,0.1068
R004F009M0,R004F009M1,R0R0,0,-0.5802,-0.5555,-0.2328,-0.3606,-0.2805,0
R004F010M0,R004F010M1,R0R0,0.198,0.0879,0.1624,0.2273,0.0672,0.2598,0.198
R004F011M0,R004F011M1,R0R0,0.5,0.0999,0.1624,0.3397,0.3348,0.0139,0.5
R004F012M0,R004F012M1,R0R0,0,-0.4689,-0.5555,-0.334,-0.4025,-0.16,0
R004F013M0,R004F013M1,R0R0,0.3734,0.3282,0.4017,0.1007,0.1502,0.2141,0.3734
R004F014M0,R004F014M1,R0R0,0.087,0.3469,0.4017,0.082,0.2139,0.3456,0.1309
R004F015M0,R004F015M1,R0R0,0.0519,-0.6287,-0.6751,0.0728,0.441,-0.2376,0.0786
R004F016M0,R004F016M1,R0R0,0,0.2147,0.1624,-0.0244,-0.0877,0.1991,0
R004F017M0,R004F017M1,R0R0,0.2321,0.4611,0.4017,0.2635,0.75,0.5577,0.3355
R004F018M0,R004F018M1,R0R0,0.5,0.4611,0.4017,0.2011,0.2748,0.3904,0.5
R004F019M0,R004F019M1,R0R0,0.1078,0.0628,0.1624,0.0098,0.0885,0.0814,0.1408
R004F020M0,R004F020M1,R0R0,0.0351,0.3202,0.2821,0.0072,0.1341,0.3582,0.0351
R004F021M0,R004F021M1,R0R0,0.0626,-0.6709,-0.5555,-0.1679,0.0992,0.0469,0.0728
R004F022M0,R004F022M1,R0R0,0.75,0.8828,0.8803,0.9572,1.0104,0.8837,0.85
R004F023M0,R004F023M1,R0R0,0,0.3756,0.4017,-0.0002,0.0089,0.2275,0
R004F024M0,R004F024M1,R0R0,0,0.2188,0.1624,-0.1194,-0.0407,-0.0244,0
R004F025M0,R004F025M1,R0R0,0.5518,0.7222,0.7607,0.7292,0.3778,0.7872,0.5694
R004F026M0,R004F026M1,R0R0,0.0846,-0.6827,-0.6751,-0.0238,0.1059,-0.2674,0.1097
R004F027M0,R004F027M1,R0R0,0.3582,0.2038,0.1624,0.2801,0.3721,0.4646,0.4238
R004F028M0,R004F028M1,R0R0,0.1891,-0.7309,-0.6751,0.3193,0.5025,-0.1895,0.2806
R004F029M0,R004F029M1,R0R0,0,-0.5441,-0.4358,-0.1113,-0.1301,-0.2707,0
R004F030M0,R004F030M1,R0R0,0,-0.2563,-0.1965,-0.1222,-0.2914,-0.4346,0
R004F031M0,R004F031M1,R0R0,0.2718,-0.0999,-0.3162,0.8423,2.9443,-0.0792,0.2718
R004F032M0,R004F032M1,R0R0,0.0489,0.0278,0.0428,-0.0185,-0.0014,0.0064,0.0489
R004F033M0,R004F033M1,R0R0,0,0.2051,0.1624,-0.137,0.019,0.1826,0
R004F034M0,R004F034M1,R0R0,0.1013,-0.3929,-0.4358,0.1041,0.303,-0.0825,0.1079
R004F035M0,R004F035M1,R0R0,0.1884,0.1023,0.1624,0.1933,0.1819,0.3214,0.282
R004F036M0,R004F036M1,R0R0,0,-0.0227,-0.0769,-0.0962,-0.0096,0.0543,0
R004F037M0,R004F037M1,R0R0,0.175,0.1362,0.1624,0.06,0.0235,0.2584,0.2004
R004F038M0,R004F038M1,R0R0,0.2847,0.3797,0.2821,0.0228,0.0622,0.3129,0.3228
R004F039M0,R004F039M1,R0R0,0.4005,0.4649,0.5214,0.6387,0.7647,0.0628,0.431
R004F040M0,R004F040M1,R0R0,0.2949,0.6575,0.641,0.4718,0.037,0.3064,0.4508
R004F041M0,R004F041M1,R0R0,0.1105,-0.8007,-0.6751,0.0073,-0.1528,-0.1928,0.2057
R004F042M0,R004F042M1,R0R0,0.1373,0.3336,0.2821,0.1053,0.0073,0.4097,0.1374
R004F043M0,R004F043M1,R0R0,0,0.0725,0.0428,-0.0627,0.0579,-0.0156,0.1538
R004F044M0,R004F044M1,R0R0,0.304,0.4807,0.5214,0.4873,0.3109,0.5382,0.4883
R004F045M0,R004F045M1,R0R0,0.1849,-0.1751,-0.1965,0.2477,0.4168,0.2857,0.2501
R004F046M0,R004F046M1,R0R0,0.0711,-0.8923,-0.7948,-0.0083,-0.2116,-0.1501,0.1375
R004F047M0,R004F047M1,R0R0,0,-0.1099,-0.1965,-0.0806,-0.1644,-0.0038,0
R004F048M0,R004F048M1,R0R0,0.1952,0.0778,0.0428,0.0723,0.191,0.0524,0.2611
R004F049M0,R004F049M1,R0R0,0,0.1615,0.0428,-0.3137,-0.1418,-0.4723,0
R004F050M0,R004F050M1,R0R0,0.4139,0.7252,0.641,0.5407,0.2567,0.6001,0.6941
R004F051M0,R004F051M1,R0R0,0,0.3169,0.0428,-0.1037,-0.0527,0.0291,0
R004F052M0,R004F052M1,R0R0,0.2743,0.0534,0.0428,0.302,0.3327,0.1254,0.2743
R004F053M0,R004F053M1,R0R0,0.0926,-0.2953,-0.1965,-0.0214,0.0327,0.1671,0.1085
R004F054M0,R004F054M1,R0R0,0.4246,0.5824,0.641,0.6515,0.3209,0.632,0.582
R004F055M0,R004F055M1,R0R0,0.1664,-0.3154,-0.1965,0.2298,0.1986,0.1783,0.1992
R004F056M0,R004F056M1,R0R0,0,-0.2769,-0.4358,-0.5219,-0.349,-0.6056,0
R004F057M0,R004F057M1,R0R0,0,-1.2405,-1.1537,-0.2012,-0.402,-0.5343,0
R004F058M0,R004F058M1,R0R0,0,0.0916,0.0428,-0.2032,-0.1418,-0.0725,0
R004F059M0,R004F059M1,R0R0,0,-0.5574,-0.4358,-0.3431,-0.3187,-0.3438,0
R004F060M0,R004F060M1,R0R0,0.4389,0.3291,0.1624,0.3439,0.2559,0.1868,0.4389
R004F061M0,R004F061M1,R0R0,0.1938,-0.4517,-0.5555,0.4665,0.4772,-0.2393,0.1939
R004F062M0,R004F062M1,R0R0,0.0021,0.3384,0.4017,-0.0997,-0.037,-0.1199,0.0732
R004F063M0,R004F063M1,R0R0,0.1671,0.2669,0.0428,0.0443,0.0016,0.2639,0.219
R004F064M0,R004F064M1,R0R0,0.5,0.3403,0.2821,0.465,0.299,0.2169,0.5
R004F065M0,R004F065M1,R0R0,0.0287,0.5034,0.4017,0.0783,-0.0382,0.3946,0.152
R004F066M0,R004F066M1,R0R0,0,-0.0995,-0.1965,-0.0338,-0.0815,-0.1223,0
R004F067M0,R004F067M1,R0R0,0.4915,0.6357,0.641,0.6962,0.397,0.5979,0.5985
R004F068M0,R004F068M1,R0R0,0.1723,0.3727,0.2821,0.1336,0.1298,0.154,0.1725
R004F069M0,R004F069M1,R0R0,0,0.2228,0.2821,-0.082,0.0131,-0.075,0
R004F070M0,R004F070M1,R0R0,0.5787,0.7776,0.641,0.3995,0.2879,0.7523,0.6506
R004F071M0,R004F071M1,R0R0,0.2198,-0.1148,-0.0769,0.2855,0.6602,0.1093,0.2198
R004F072M0,R004F072M1,R0R0,0.5,0.4831,0.5214,0.4633,0.2581,0.4706,0.5
R004F073M0,R004F073M1,R0R0,0.2589,0.3837,0.4017,0.371,0.3667,0.3769,0.2776
R004F074M0,R004F074M1,R0R0,0,0.355,0.2821,-0.1299,-0.1235,0.1434,0
R004F075M0,R004F075M1,R0R0,0.3799,0.6354,0.641,0.4875,0.2325,0.6266,0.564
R004F076M0,R004F076M1,R0R0,0.2381,0.1774,0.1624,0.2677,0.0012,0.2687,0.2691
R004F077M0,R004F077M1,R0R0,0.0875,-0.2255,-0.3162,0.4941,0.3912,-0.2264,0.2035
R004F078M0,R004F078M1,R0R0,0.5,0.1046,0.1624,0.3417,0.6875,0.3015,0.5
R004F079M0,R004F079M1,R0R0,0.1876,0.0975,0.0428,0.1486,0.425,0.0913,0.1876
R004F080M0,R004F080M1,R0R0,0.3999,0.6198,0.641,0.5675,0.3968,0.528,0.5006
R004F081M0,R004F081M1,R0R0,0,-0.5155,-0.5555,-0.2058,-0.2397,-0.326,0
R004F082M0,R004F082M1,R0R0,0.135,0.071,0.0428,-0.0797,-0.0235,-0.4901,0.2108
R004F083M0,R004F083M1,R0R0,0.0875,0.0827,0.0428,0.2014,0.3636,-0.0065,0.2116
R004F084M0,R004F084M1,R0R0,0,0.0975,0.0428,-0.2585,-0.1559,-0.0899,0
R004F085M0,R004F085M1,R0R0,0,-0.1081,-0.0769,-0.0142,-0.033,-0.0322,0
R004F086M0,R004F086M1,R0R0,0.1188,-0.4279,-0.3162,0.0316,0.3686,-0.0397,0.1372
R004F087M0,R004F087M1,R0R0,0,-0.8384,-0.7948,-0.3179,-0.3059,-0.2721,0
R004F088M0,R004F088M1,R0R0,0.219,-0.0987,-0.0769,-0.0482,-0.0675,0.0303,0.3424
R004F089M0,R004F089M1,R0R0,0,-0.3963,-0.5555,-0.177,-0.3274,-0.3862,0
R004F090M0,R004F090M1,R0R0,0.0882,-0.2748,-0.1965,0.1294,-0.0236,0.0526,0.0882
R004F091M0,R004F091M1,R0R0,0,0.0257,-0.0769,-0.0244,-0.086,-0.2593,0.0675
R004F092M0,R004F092M1,R0R0,0.1216,0.0077,0.0428,0.1076,0.0863,-0.0101,0.1705
R004F093M0,R004F093M1,R0R0,0.0395,-0.2549,-0.3162,-0.3108,-0.3848,-0.3604,0.0395
R004F094M0,R004F094M1,R0R0,0,0.0695,0.1624,-0.1004,-0.0441,-0.3104,0
R004F095M0,R004F095M1,R0R0,0.0006,0.0995,0.1624,0.0004,0.0687,0.2532,0.0006
R004F096M0,R004F096M1,R0R0,0.3899,0.3837,0.4017,0.2733,0.1929,0.1908,0.3899
R004F097M0,R004F097M1,R0R0,0.178,0.0841,0.1624,0.1334,0.2537,0.2707,0.2375
R004F098M0,R004F098M1,R0R0,0.2472,0.2072,0.1624,0.5379,0.4649,0.4407,0.4198
R004F099M0,R004F099M1,R0R0,0,-0.4023,-0.4358,-0.2651,-0.3031,-0.1902,0
R004F100M0,R004F100M1,R0R0,0,-0.366,-0.3162,-0.2053,-0.2631,-0.29,0
R005F001M0,R005F001M1,R0R0,0.0181,0.1937,0.2821,0.0074,0.0533,0.2543,0.0181
R005F002M0,R005F002M1,R0R0,0,0.218,0.1624,-0.137,-0.0723,0.1326,0
R005F003M0,R005F003M1,R0R0,0.226,-0.2653,-0.3162,0.4633,0.7859,-0.0913,0.2936
R005F004M0,R005F004M1,R0R0,0,0.3476,0.1624,-0.0746,-0.0267,0.1905,0.0653
R005F005M0,R005F005M1,R0R0,0.0587,-0.2158,-0.3162,0.3425,0.2493,-0.2683,0.1467
R005F006M0,R005F006M1,R0R0,0,-0.0885,-0.0769,-0.2104,-0.1183,0.0412,0
R005F007M0,R005F007M1,R0R0,0.0883,-0.2734,-0.1965,0.0506,0.1956,-0.0845,0.0883
R005F008M0,R005F008M1,R0R0,0,0.0376,-0.0769,-0.1062,-0.2467,-0.0334,0
R005F009M0,R005F009M1,R0R0,0.0788,0.0795,-0.3162,0.3317,0.5037,-0.0431,0.2391
R005F010M0,R005F010M1,R0R0,0.4744,0.316,0.2821,0.2049,0.0743,0.0375,0.4744
R005F011M0,R005F011M1,R0R0,0.0415,0.4592,0.4017,-0.1111,-0.1063,0.1888,0.0415
R005F012M0,R005F012M1,R0R0,0.5,0.4831,0.5214,0.381,0.1442,0.5565,0.5
R005F013M0,R005F013M1,R0R0,0.2478,-0.1237,-0.1965,-0.015,-0.0991,-0.3082,0.3106
R005F014M0,R005F014M1,R0R0,0.2541,0.6177,0.5214,0.1859,0.3768,0.5574,0.4315
R005F015M0,R005F015M1,R0R0,0.3216,0.3486,0.4017,0.098,0.0366,0.3617,0.3216
R005F016M0,R005F016M1,R0R0,0.3259,0.5606,0.5214,0.2284,0.3379,0.6787,0.4246
R005F017M0,R005F017M1,R0R0,0,-0.733,-0.7948,-0.6239,-0.4708,-0.9474,0
R005F018M0,R005F018M1,R0R0,0.5,0.4969,0.5214,0.601,0.4409,0.4289,0.5
R005F019M0,R005F019M1,R0R0,0.137,-0.8348,-0.9144,0.423,0.5267,-0.5255,0.137
R005F020M0,R005F020M1,R0R0,0.1293,0.0337,0.0428,0.1653,-0.0822,0.0743,0.1293
R005F021M0,R005F021M1,R0R0,0,0.0876,0.0428,-0.1481,-0.0969,0.0944,0
R005F022M0,R005F022M1,R0R0,0,-0.0924,-0.0769,-0.0656,-0.1782,0.0419,0
R005F023M0,R005F023M1,R0R0,0,-0.3478,-0.3162,-0.3262,-0.3758,-0.3939,0
R005F024M0,R005F024M1,R0R0,0.4161,0.4538,0.5214,0.1497,0.0628,0.3161,0.4161
R005F025M0,R005F025M1,R0R0,0,-0.9314,-0.9144,-0.2727,-0.5548,-0.5234,0
R005F026M0,R005F026M1,R0R0,0.1369,0.2333,0.1624,0.1004,0.179,0.1473,0.2565
R005F027M0,R005F027M1,R0R0,0,-0.1793,-0.1965,-0.2265,-0.0852,-0.7834,0
R005F028M0,R005F028M1,R0R0,0,-0.1145,-0.1965,-0.1687,-0.0438,-0.0582,0
R005F029M0,R005F029M1,R0R0,0.245,0.2751,0.2821,0.0454,0.1381,0.3542,0.3364
R005F030M0,R005F030M1,R0R0,0.2846,-0.2395,-0.3162,0.0339,0.0648,-0.4618,0.3241
R005F031M0,R005F031M1,R0R0,0.075,-0.0915,-0.0769,0.1204,0.1953,-0.0302,0.1248
R005F032M0,R005F032M1,R0R0,0,-0.5897,-0.5555,-0.2343,-0.3491,-0.4745,0
R005F033M0,R005F033M1,R0R0,0.3917,0.6168,0.641,0.5472,0.5005,0.5629,0.6022
R005F034M0,R005F034M1,R0R0,0.0974,-0.5529,-0.4358,0.1267,-0.0093,-0.5541,0.1563
R005F035M0,R005F035M1,R0R0,0,-0.0586,-0.0769,-0.0447,-0.1052,-0.3834,0.1226
R005F036M0,R005F036M1,R0R0,0.1561,-0.0621,-0.0769,0.2121,0.2564,0.0293,0.1561
R005F037M0,R005F037M1,R0R0,0.5,0.478,0.5214,0.4749,0.2208,0.4883,0.5
R005F038M0,R005F038M1,R0R0,0,-0.1121,-0.1965,-0.077,0.0746,-0.2027,0
R005F039M0,R005F039M1,R0R0,0,0.09,0.1624,-0.0226,-0.0537,-0.0739,0
R005F040M0,R005F040M1,R0R0,0.5,0.2185,0.2821,0.396,0.5134,0.3705,0.5
R005F041M0,R005F041M1,R0R0,0,-0.4296,-0.3162,-0.097,0.0288,0.0585,0
R005F042M0,R005F042M1,R0R0,0.2429,0.4807,0.4017,0.1804,0.3924,0.4545,0.3508
R005F043M0,R005F043M1,R0R0,0,-0.0465,0.0428,0.0235,0.0513,-0.0823,0.0911
R005F044M0,R005F044M1,R0R0,0.4018,0.7399,0.7607,0.2071,0.0847,0.5255,0.5766
R005F045M0,R005F045M1,R0R0,0.1155,-0.319,-0.1965,-0.2888,-0.0613,-0.2741,0.1684
R005F046M0,R005F046M1,R0R0,0.1352,-0.0438,-0.1965,0.0493,0.0317,-0.0589,0.188
R005F047M0,R005F047M1,R0R0,0,-0.4174,-0.3162,-0.3052,-0.1377,-0.3487,0
R005F048M0,R005F048M1,R0R0,0.5,0.466,0.5214,0.3408,0.1454,0.348,0.5
R005F049M0,R005F049M1,R0R0,0.0786,-0.6139,-0.5555,-0.0612,0.1041,-0.0901,0.1228
R005F050M0,R005F050M1,R0R0,0,0.1897,0.2821,0.018,0.0922,0.0535,0.3561
R005F051M0,R005F051M1,R0R0,0,-0.9351,-1.1537,-0.1082,-0.4906,-0.7406,0
R005F052M0,R005F052M1,R0R0,0.0063,-0.0682,-0.0769,-0.0362,0.014,-0.2673,0.057
R005F053M0,R005F053M1,R0R0,0.0613,-0.2969,-0.3162,-0.0133,0.1229,-0.2254,0.0632
R005F054M0,R005F054M1,R0R0,0.5,0.3411,0.4017,0.6278,0.6883,0.3069,0.5
R005F055M0,R005F055M1,R0R0,0.25,0.3194,0.1624,0.1018,-0.0075,0.1943,0.3948
R005F056M0,R005F056M1,R0R0,0.089,0.0154,0.0428,0.0015,-0.1634,-0.0299,0.1366
R005F057M0,R005F057M1,R0R0,0,0.0795,0.0428,-0.1251,-0.0144,0.0245,0
R005F058M0,R005F058M1,R0R0,0.5,0.3323,0.4017,0.1986,0.143,0.3711,0.5
R005F059M0,R005F059M1,R0R0,0.0136,-0.0094,0.0428,0.0249,0.0409,0.0364,0.0276
R005F060M0,R005F060M1,R0R0,0.1434,0.342,0.2821,0.0579,0.1226,0.3483,0.1434
R005F061M0,R005F061M1,R0R0,0.5233,0.5987,0.641,0.4006,0.0447,0.6188,0.5233
R005F062M0,R005F062M1,R0R0,0.1186,0.0347,-0.0769,0.0865,0.1987,-0.1544,0.1373
R005F063M0,R005F063M1,R0R0,0,-0.1751,-0.0769,-0.1876,-0.1736,-0.2986,0
R005F064M0,R005F064M1,R0R0,0,-0.0323,-0.0769,-0.1194,0.0356,-0.1665,0
R005F065M0,R005F065M1,R0R0,0,-0.4734,-0.4358,-0.1551,0.0414,-0.4456,0
R005F066M0,R005F066M1,R0R0,0.1664,-0.021,0.0428,0.1928,0.2663,0.1588,0.1867
R005F067M0,R005F067M1,R0R0,0,0.0736,-0.0769,-0.0765,-0.2205,-0.2689,0
R005F068M0,R005F068M1,R0R0,0,0.0547,0.0428,-0.1704,-0.2107,-0.2243,0
R005F069M0,R005F069M1,R0R0,0,0.3476,0.2821,-0.082,-0.0568,-0.0088,0
R005F070M0,R005F070M1,R0R0,0,0.206,0.2821,-0.166,-0.1162,0.0199,0
R005F071M0,R005F071M1,R0R0,0.1406,0.327,0.1624,0.0355,0.0789,0.1666,0.1656
R005F072M0,R005F072M1,R0R0,0.0517,0.0058,-0.0769,0.0779,0.1841,0.0168,0.0739
R005F073M0,R005F073M1,R0R0,0,-0.2935,-0.1965,-0.1999,-0.1531,-0.2035,0
R005F074M0,R005F074M1,R0R0,0,-0.485,-0.5555,-0.2526,-0.3721,-0.6326,0
R005F075M0,R005F075M1,R0R0,0.5,0.4897,0.5214,0.5213,0.1875,0.4054,0.5
R005F076M0,R005F076M1,R0R0,0.0244,0.2422,0.2821,0.0145,-0.0579,0.1482,0.0244
R005F077M0,R005F077M1,R0R0,0.1478,0.1163,0.0428,-0.0112,0.1752,0.2039,0.1716
R005F078M0,R005F078M1,R0R0,0.1667,0.372,0.4017,0.5107,0.2189,0.2243,0.2459
R005F079M0,R005F079M1,R0R0,0,-0.3243,-0.4358,-0.0513,-0.1705,-0.1283,0
R005F080M0,R005F080M1,R0R0,0.1166,0.2146,0.1624,0.0953,-0.0567,0.2348,0.1166
R005F081M0,R005F081M1,R0R0,0.1504,0.2204,0.1624,0.1365,0.2487,0.2454,0.1775
R005F082M0,R005F082M1,R0R0,0.0585,0.1241,0.1624,-0.0633,-0.0206,0.1245,0.0874
R005F083M0,R005F083M1,R0R0,0,-0.4464,-0.3162,-0.2672,-0.097,-0.6641,0
R005F084M0,R005F084M1,R0R0,0.2851,0.0585,0.1624,0.1963,0.2829,0.3488,0.3236
R005F085M0,R005F085M1,R0R0,0.0711,0.3173,0.4017,0.024,0.0479,-0.0781,0.0711
R005F086M0,R005F086M1,R0R0,0.2932,0.6198,0.641,0.4707,0.2255,0.4907,0.6044
R005F087M0,R005F087M1,R0R0,0.5,0.4848,0.5214,0.545,0.4984,0.5576,0.5
R005F088M0,R005F088M1,R0R0,0,0.1004,0.1624,-0.0979,-0.167,0.0987,0
R005F089M0,R005F089M1,R0R0,0.096,0.3753,0.4017,0.0925,-0.0515,0.2889,0.0975
R005F090M0,R005F090M1,R0R0,0,-0.6532,-0.6751,-0.3668,-0.4351,-0.1979,0
R005F091M0,R005F091M1,R0R0,0,0.0509,0.1624,-0.2179,-0.1597,-0.1552,0
R005F092M0,R005F092M1,R0R0,0.1068,0.4562,0.2821,0.0407,0.0199,0.343,0.1068
R005F093M0,R005F093M1,R0R0,0.0242,-0.076,-0.0769,0.0404,-0.1797,0.0155,0.0345
R005F094M0,R005F094M1,R0R0,0,-0.0885,-0.1965,-0.2642,-0.2641,-0.131,0
R005F095M0,R005F095M1,R0R0,0.3823,0.2718,0.2821,0.6874,0.5514,0.1519,0.5
R005F096M0,R005F096M1,R0R0,0,0.1191,0.1624,-0.2289,-0.1459,-0.149,0
R005F097M0,R005F097M1,R0R0,0.2082,0.0585,0.1624,0.0705,-0.0336,-0.1289,0.2509
R005F098M0,R005F098M1,R0R0,0,-0.1212,-0.1965,-0.1807,-0.3436,-0.0506,0.1003
R005F099M0,R005F099M1,R0R0,0.2064,0.0034,0.0428,0.0808,0.0205,0.0313,0.2273
R005F100M0,R005F100M1,R0R0,0.0702,-0.6438,-0.6751,0.1275,-0.1303,-0.2673,0.1174
R006F001M0,R006F001M1,R0R0,0.5244,0.5891,0.641,0.568,0.2058,0.5509,0.5244
R006F002M0,R006F002M1,R0R0,0.1051,0.3257,0.2821,0.1323,0.0668,0.1482,0.1681
R006F003M0,R006F003M1,R0R0,0,-0.1505,-0.3162,-0.0332,-0.0097,-0.0961,0
R006F004M0,R006F004M1,R0R0,0,-0.6,-0.7948,-0.2128,-0.35,-0.435,0
R006F005M0,R006F005M1,R0R0,0,-0.3409,-0.3162,-0.0615,0.1356,0.0085,0
R006F006M0,R006F006M1,R0R0,0,-0.0331,-0.0769,-0.0627,0.0557,0.1571,0
R006F007M0,R006F007M1,R0R0,0,-0.3041,-0.3162,-0.0823,-0.1434,-0.4686,0
R006F008M0,R006F008M1,R0R0,0.0043,0.0627,0.1624,-0.2855,-0.0538,-0.0051,0.0043
R006F009M0,R006F009M1,R0R0,0.1343,0.4842,0.5214,0.1901,0.1426,0.3861,0.2738
R006F010M0,R006F010M1,R0R0,0,-0.513,-0.4358,-0.2622,-0.108,-0.1841,0
R006F011M0,R006F011M1,R0R0,0.1033,-0.42,-0.3162,0.1487,0.2169,-0.0485,0.1373
R006F012M0,R006F012M1,R0R0,0.0693,-0.7234,-0.6751,0.0247,-0.15,-0.1829,0.0898
R006F013M0,R006F013M1,R0R0,0,-0.6593,-0.6751,-0.2724,-0.4121,-0.577,0
R006F014M0,R006F014M1,R0R0,0,0.1741,0.1624,-0.2244,-0.0618,-0.2347,0
R006F015M0,R006F015M1,R0R0,0,-0.2577,-0.3162,-0.1245,-0.1756,-0.1341,0
R006F016M0,R006F016M1,R0R0,0.2942,-0.2107,-0.1965,0.1513,0.0595,-0.3023,0.3517
R006F017M0,R006F017M1,R0R0,0.1548,0.4869,0.5214,0.1929,0.0598,0.3954,0.2631
R006F018M0,R006F018M1,R0R0,0,-0.0545,0.0428,-0.308,-0.0536,-0.0432,0
R006F019M0,R006F019M1,R0R0,0,0.2383,0.1624,-0.1628,-0.0922,-0.0067,0
R006F020M0,R006F020M1,R0R0,0,-0.1286,-0.0769,-0.2234,-0.0845,-0.0093,0
